Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
5176209.0,2650014.0,2526195.0,11.0,9.5,9.0,27.9523863248772,6.2080645814702,3.90343521149537,14.2323561346363,11.13,126019543413.334,4.20156314537907,-785070666.666668,3722158572.54903,15305.409808607,31.68,49.7867013796177,74.1,81.0,99.7170867919922,82.5875015258789,99.5973129272461,None,2000,Finland
5165474.0,2645920.0,2519554.0,11.1,9.6,9.0,27.7298086819039,6.38065194346524,4.37781291246333,14.1778716775569,11.69,135264083658.688,4.48861476631448,-1353536088.80309,3903939128.57144,15075.8671905037,30.24,50.7932485845569,73.74,81.02,99.7165374755859,80.0922470092773,99.436882019043,None,1999,Finland
5153498.0,2640917.0,2512582.0,11.1,9.6,9.0,28.256421042834,7.11357511090509,4.61669280187129,15.0677113009528,13.21,134038718291.055,6.34333890052565,-2582331998.21985,3886292834.89097,14846.4208194124,30.5,51.4975218349994,73.52,80.84,99.8864974975586,76.7278900146484,99.7732696533203,None,1998,Finland
5139835.0,2635006.0,2504829.0,11.5,9.6,None,27.4193140191892,7.77802356840499,5.31663708617959,13.8829208958813,14.97,126912152101.707,8.08652569522732,-1897835299.5075,4344290459.28301,14454.9387285779,28.83,53.2654293083833,73.42,80.51,99.9616928100586,71.2885284423828,99.877799987793,None,1997,Finland
5124573.0,2628456.0,2496118.0,11.8,9.6,None,27.0865059364177,7.89306747320574,5.6968499770715,13.945062310084,15.57,132129174216.93,3.07087198606924,-2980843903.70179,4557338855.81155,13721.9237583307,26.87,55.6521575600797,73.03,80.54,99.9656677246094,68.9032897949219,99.1850128173828,None,1996,Finland
5107790.0,2621151.0,2486639.0,12.3,9.6,None,27.5972857080136,7.75768455868364,5.30160907004379,14.7436027867758,17.0,134189814814.815,11.2427998744135,-3922930283.2244,5095315904.13943,13591.3966705757,27.27,52.9464571973764,72.79,80.21,100.003356933594,67.2521362304688,99.3867874145508,None,1995,Finland
67971311.0,35123991.0,32847321.0,None,None,13.0,19.2561002968825,2.58752314237412,1.57344552097793,9.79780050523722,7.31,2779092236505.85,None,49223705540.8562,53182115371.5955,None,None,None,None,None,None,None,None,None,2022,France
67764304.0,35006272.0,32758032.0,10.9,9.7,13.0,19.3922342737335,2.49128584996193,1.44275824481093,9.6882674577959,7.86,2959355819170.5,8.71481560714015,65159529162.7896,47859586647.2861,None,None,None,79.3,85.5,102.744186401367,68.974853515625,None,None,2021,France
67571107.0,34900402.0,32670705.0,10.9,9.9,13.0,19.9647807948922,2.35004534001808,1.43590355290535,9.279047427211,8.01,2647418691598.45,-9.93720490855532,20564098745.5253,41815799548.6382,None,16.87,None,79.2,85.3,102.732612609863,68.4094924926758,None,None,2020,France
67388001.0,34801750.0,32586250.0,11.2,9.1,10.0,20.3920053768982,2.51529636718206,1.46503800548709,9.586988549414,8.41,2728870246705.88,1.26765480914197,58547397388.2352,41545938007.8431,None,15.53,None,79.9,85.9,102.447647094727,67.7331314086914,None,None,2019,France
67158348.0,34680632.0,32477716.0,11.3,9.1,10.0,20.232669694062,2.4966501907483,1.38416370460336,9.62207424115882,9.02,2790956878746.66,0.993742699948513,64704497592.1568,46019435338.0392,None,15.21,None,79.7,85.8,102.464408874512,67.5435180664062,None,None,2018,France
66918020.0,34554791.0,32363229.0,11.5,9.1,10.0,20.4110167522658,2.60567145894032,1.57851934751474,9.94052780876383,9.41,2595151045197.65,1.62285459680373,58654176363.5295,40027993125.8824,None,14.12,None,79.6,85.7,102.417221069336,65.8022308349609,None,None,2017,France
66724104.0,34452635.0,32271469.0,11.8,8.9,10.0,20.2938086171976,2.87190030699713,1.64887878940552,9.33382409647535,10.06,2472964344587.17,0.987044112109189,52312241112.8406,35539338243.969,None,14.25,None,79.5,85.8,102.260429382324,64.7276763916016,None,None,2016,France
66548272.0,34359025.0,32189247.0,12.0,8.9,10.0,20.3760385771877,2.74492924811886,1.66042444456827,9.45551218878954,10.35,2439188643162.5,1.99302611916718,52676343508.2031,39164695526.1719,None,13.34,46.4879708722364,79.2,85.6,101.989639282227,62.7859306335449,None,None,2015,France
66312067.0,34233592.0,32078475.0,12.4,8.4,10.0,20.5331926303832,2.84532893990899,1.66899758499304,9.72705231313805,10.27,2855964488590.19,0.791321985295042,61900165544.3135,44448979241.5685,6939.94352490927,13.19,46.2259230612383,79.5,86.1,101.280349731445,61.5104789733887,None,None,2014,France
66002289.0,34069673.0,31932616.0,12.4,8.7,10.0,21.3053214172326,3.07468625152551,1.86213544935036,10.1818117669064,9.91,2811876903329.03,0.494388941178613,62983341773.7257,41014941287.0589,7367.44145343202,13.44,48.5435813113108,79.0,85.6,102.276443481445,59.8487586975098,None,None,2013,France
65662240.0,33890643.0,31771596.0,12.6,8.7,10.0,21.7779944966183,2.93520140574329,1.87273490264813,10.3452621321052,9.84,2683671716967.19,-1.04366853531148,58677583433.2031,43792021880.8594,7363.15118095271,12.35,49.0120270700645,78.7,85.4,102.523162841797,57.9090118408203,None,None,2012,France
65345233.0,33722113.0,31623120.0,12.7,8.4,10.0,22.185907658811,2.92935585936807,1.91384547549427,10.6224072701181,9.23,2865157541994.17,1.25057216023545,76170575350.1947,47283327986.3814,7232.70816097633,10.65,48.6769865100636,78.7,85.7,102.691101074219,55.6257286071777,None,None,2011,France
65030575.0,33553356.0,31477219.0,12.9,8.5,10.0,22.2786772420348,2.91628929520462,1.80216338856814,10.2367811593375,9.28,2645187882116.67,1.20685618104137,61230875683.3335,42429561916.6667,7734.36187516411,11.99,49.8363783215558,78.2,85.3,102.761512756348,54.881721496582,None,None,2010,France
64710879.0,33382387.0,31328492.0,12.8,8.5,10.0,22.6822571480547,2.94919344613527,1.91347056569346,10.3678631041027,9.12,2700887366932.03,-3.33813478890355,62116635158.2031,35737115213.2812,7337.60701967903,11.32,50.8516825886653,78.0,85.0,103.041137695312,52.7731018066406,None,None,2009,France
64379696.0,33205372.0,31174324.0,12.9,8.5,10.0,23.2664993992765,2.75954063870578,1.87344317161258,11.0162931642623,7.39,2930303780828.12,-0.96353635251829,63832258099.2187,44400636846.0937,7642.8910133406,10.6,50.8434654962609,77.8,84.8,103.622146606445,52.4755210876465,None,None,2008,France
64021737.0,33013412.0,31008324.0,12.8,8.3,10.0,23.1973052447754,3.42680838382865,2.1474215781981,11.4870016492311,8.01,2660591246211.77,1.99916127491807,52849744626.2747,42915149320.0001,7512.93267784971,9.46,51.685506010111,77.6,84.8,103.85977935791,52.9475402832031,None,None,2007,France
63628261.0,32802688.0,30825573.0,13.1,8.3,10.0,23.7089554489952,3.67409028621088,2.20847103781899,11.6748641506326,8.83,2320536221304.7,1.32453616805668,46429533296.4705,35237125383.5294,7539.47998044454,8.52,51.8924519811957,77.3,84.5,104.278846740723,53.8754196166992,None,None,2006,France
